time,j0_queue,j1_queue,total_vehicles,congestion_level,agent_action
544.0,3,3,6,MEDIUM,MONITORING
545.0,3,3,6,MEDIUM,MONITORING
546.0,3,3,6,MEDIUM,MONITORING
547.0,2,2,4,LOW,MONITORING
548.0,2,3,5,MEDIUM,MONITORING
549.0,2,3,5,MEDIUM,MONITORING
550.0,2,4,6,MEDIUM,MONITORING
551.0,2,4,6,MEDIUM,MONITORING
552.0,2,4,6,MEDIUM,MONITORING
553.0,3,5,8,MEDIUM,MONITORING
554.0,3,6,9,MEDIUM,EXTEND_J1_GREEN
555.0,4,6,10,HIGH,EXTEND_J1_GREEN
556.0,3,6,9,MEDIUM,EXTEND_J1_GREEN
557.0,4,6,10,HIGH,EXTEND_J1_GREEN
558.0,4,6,10,HIGH,EXTEND_J1_GREEN
559.0,4,6,10,HIGH,EXTEND_J1_GREEN
560.0,4,6,10,HIGH,EXTEND_J1_GREEN
561.0,4,6,10,HIGH,EXTEND_J1_GREEN
562.0,4,6,10,HIGH,EXTEND_J1_GREEN
563.0,4,6,10,HIGH,EXTEND_J1_GREEN
564.0,4,6,10,HIGH,EXTEND_J1_GREEN
565.0,5,7,12,HIGH,EXTEND_J1_GREEN
566.0,5,7,12,HIGH,EXTEND_J1_GREEN
567.0,5,7,12,HIGH,EXTEND_J1_GREEN
568.0,5,7,12,HIGH,EXTEND_J1_GREEN
569.0,5,7,12,HIGH,EXTEND_J1_GREEN
570.0,5,7,12,HIGH,EXTEND_J1_GREEN
571.0,5,7,12,HIGH,EXTEND_J1_GREEN
572.0,5,7,12,HIGH,EXTEND_J1_GREEN
573.0,5,7,12,HIGH,EXTEND_J1_GREEN
574.0,5,7,12,HIGH,EXTEND_J1_GREEN
575.0,5,7,12,HIGH,EXTEND_J1_GREEN
576.0,5,7,12,HIGH,EXTEND_J1_GREEN
577.0,6,8,14,HIGH,EXTEND_J0_GREEN
578.0,6,8,14,HIGH,EXTEND_J0_GREEN
579.0,6,8,14,HIGH,EXTEND_J0_GREEN
580.0,6,8,14,HIGH,EXTEND_J0_GREEN
581.0,6,8,14,HIGH,EXTEND_J0_GREEN
582.0,6,8,14,HIGH,EXTEND_J0_GREEN
