vehicle_id,x,y,speed
441,-41.31,22.6,0.0
442,-41.4,25.8,0.0
443,-48.81,22.4,0.0
444,-56.31,22.19,0.0
445,-48.9,25.6,0.0
448,-56.4,25.39,0.0
