vehicle_id,x,y,speed
f1.39,24.87,-11.11,12.87
f1.40,-39.45,-14.44,14.09
f3.0,-21.66,1.78,0.0
f3.1,-21.76,9.28,0.0
f3.2,-21.86,16.78,0.0
f3.3,-21.97,24.28,0.0
f4.0,-18.46,1.83,0.0
f4.1,-18.56,9.33,0.0
f4.2,-18.66,16.83,0.0
f4.3,-18.77,24.33,0.0
f5.25,-15.68,32.98,11.77
f5.26,-8.58,-4.71,0.21
f5.27,-0.76,-4.71,0.67
f5.28,10.48,-4.71,7.05
f6.29,-44.32,-8.07,10.1
f6.30,-8.59,-7.91,0.04
f6.31,-0.55,-7.91,0.61
f6.32,8.32,-7.91,1.89
f6.33,18.42,-7.91,2.4
